fiscal_year,wareki,balance_trillion_yen,gdp_ratio_percent,basis
1965,昭和40,0.2,0.6,actual
1966,昭和41,0.9,2.2,actual
1967,昭和42,1.6,3.4,actual
1968,昭和43,2.1,3.7,actual
1969,昭和44,2.5,3.8,actual
1970,昭和45,2.8,3.7,actual
1971,昭和46,4.0,4.8,actual
1972,昭和47,5.8,6.0,actual
1973,昭和48,7.6,6.5,actual
1974,昭和49,9.7,7.0,actual
1975,昭和50,15.0,9.8,actual
1976,昭和51,22.1,12.9,actual
1977,昭和52,31.9,16.8,actual
1978,昭和53,42.6,20.4,actual
1979,昭和54,56.3,25.0,actual
1980,昭和55,70.5,28.4,actual
1981,昭和56,82.3,31.1,actual
1982,昭和57,96.5,34.9,actual
1983,昭和58,109.7,38.0,actual
1984,昭和59,121.7,39.5,actual
1985,昭和60,134.4,40.7,actual
1986,昭和61,145.1,42.4,actual
1987,昭和62,151.8,41.9,actual
1988,昭和63,156.8,40.4,actual
1989,平成元,160.9,38.7,actual
1990,平成2,166.3,36.8,actual
1991,平成3,171.6,36.2,actual
1992,平成4,178.4,36.9,actual
1993,平成5,192.5,39.9,actual
1994,平成6,206.6,39.6,actual
1995,平成7,225.2,42.1,actual
1996,平成8,244.7,44.5,actual
1997,平成9,258.0,46.7,actual
1998,平成10,295.2,54.6,actual
1999,平成11,331.7,61.8,actual
2000,平成12,367.6,67.3,actual
2001,平成13,392.4,73.3,actual
2002,平成14,421.1,79.4,actual
2003,平成15,457.0,85.8,actual
2004,平成16,499.0,93.3,actual
2005,平成17,526.9,97.8,actual
2006,平成18,531.7,98.0,actual
2007,平成19,541.5,99.6,actual
2008,平成20,545.9,104.5,actual
2009,平成21,594.0,118.6,actual
2010,平成22,636.3,125.0,actual
2011,平成23,669.9,132.9,actual
2012,平成24,705.0,139.7,actual
2013,平成25,743.9,143.3,actual
2014,平成26,774.1,145.0,actual
2015,平成27,805.4,145.9,actual
2016,平成28,830.6,149.3,actual
2017,平成29,853.2,150.3,actual
2018,平成30,874.0,153.4,actual
2019,令和元,886.7,155.4,actual
2020,令和2,946.6,170.8,actual
2021,令和3,991.4,172.0,actual
2022,令和4,1027.1,173.6,actual
2023,令和5,1053.7,170.1,actual
2024,令和6,1079.7,168.1,actual
2025,令和7,1136.8,169.7,revised_estimate
2026,令和8,1145.4,165.5,initial_budget_estimate
